Section Distance [km];Depth;Fluorescence;Estimated-Measured Fluorescence
3.44185;78.14770;0.40120;0.04643
3.44185;78.48880;0.47290;0.01657
3.47463;76.53020;0.34850;0.03108
3.47463;76.71040;0.36900;0.01017
3.47463;77.11980;0.37730;0.00095
3.47463;77.35710;0.37830;0.00344
3.47463;77.36240;0.35760;0.02460
3.50741;75.86250;0.34700;-0.01088
3.50741;76.07490;0.36640;-0.01510
3.50741;76.16380;0.37380;-0.01614
3.50741;76.22920;0.36920;-0.00687
3.50741;76.30250;0.36050;0.00707
3.54019;75.34380;0.27340;0.03544
3.54019;75.18300;0.27560;0.02432
3.54019;75.10930;0.32750;-0.03167
3.54019;75.41830;0.31790;-0.00493
3.54019;75.71330;0.32940;-0.00008
3.54019;75.73260;0.35130;-0.02091
3.57297;74.79110;0.26100;0.02767
3.57297;74.68570;0.27470;0.01230
3.57297;74.68260;0.27220;0.01475
3.57297;74.94890;0.26160;0.02956
3.57297;75.24630;0.28410;0.02275
3.60575;74.22900;0.29150;-0.00889
3.60575;74.32100;0.26470;0.01944
3.60575;74.42140;0.27750;0.00832
3.60575;74.65160;0.26540;0.02425
3.60575;74.75940;0.28110;0.01035
3.63853;73.82040;0.29280;-0.00334
3.63853;73.94550;0.28760;0.00027
3.63853;73.92670;0.26520;0.02291
3.63853;73.84160;0.26810;0.02109
3.63853;74.00230;0.27830;0.00885
3.67131;72.97510;0.25780;0.01989
3.67131;73.04130;0.25400;0.02678
3.67131;72.98360;0.27040;0.00769
3.67131;73.11360;0.28310;0.00106
3.67131;73.43750;0.28600;0.01200
3.70409;72.14770;0.24410;0.01518
3.70409;72.32070;0.24890;0.01248
3.70409;72.35640;0.24830;0.01352
3.70409;72.57130;0.25220;0.01223
3.70409;72.63520;0.25670;0.00851
3.70409;72.86110;0.26740;0.00822
3.73687;71.95450;0.25310;0.00634
3.73687;71.87880;0.24890;0.00955
3.73687;71.80610;0.26120;-0.00449
3.73687;71.92140;0.24990;0.00911
3.73687;72.10690;0.25140;0.01002
3.76965;71.26660;0.24660;-0.00165
3.76965;71.23010;0.24770;-0.00370
3.76965;71.46540;0.25130;-0.00115
3.76965;71.72540;0.24230;0.01465
3.76965;71.96890;0.24960;0.01255
3.80242;71.02840;0.24710;-0.00589
3.80242;71.02890;0.25240;-0.01119
3.80242;71.16610;0.25400;-0.01015
3.80242;71.34930;0.24380;0.00508
3.80242;71.33260;0.25160;-0.00318
3.83520;70.70370;0.22870;0.00967
3.83520;70.67510;0.22690;0.01109
3.83520;70.66420;0.24020;-0.00235
3.83520;70.98200;0.23630;0.00571
3.83520;71.20160;0.24160;0.00479
3.83520;71.13830;0.24760;-0.00303
3.86798;70.42480;0.22760;0.00827
3.86798;70.42350;0.22720;0.00865
3.86798;70.51090;0.22550;0.01153
3.86798;70.70450;0.23940;0.00025
3.86798;70.86810;0.23790;0.00396
3.90076;70.02280;0.21960;0.00479
3.90076;70.01790;0.22070;0.00351
3.90076;70.34880;0.22690;0.00906
3.90076;70.56720;0.22950;0.00951
3.90076;70.60470;0.22970;0.00983
3.93354;69.73730;0.22740;-0.01292
3.93354;69.88520;0.22950;-0.00950
3.93354;70.16440;0.23980;-0.00937
3.93354;70.32630;0.26810;-0.03163
3.93354;70.18540;0.23490;-0.00369
3.96632;69.14440;0.21300;-0.00487
3.96632;69.29590;0.21220;-0.00389
3.96632;69.50830;0.22340;-0.01484
3.96632;69.66600;0.22990;-0.01774
3.96632;69.61470;0.22820;-0.01802
3.96632;69.56190;0.21640;-0.00778
3.99910;68.72290;0.19930;0.00641
3.99910;68.88940;0.21140;-0.00342
3.99910;68.85010;0.20550;0.00242
3.99910;68.97160;0.20880;-0.00069
3.99910;69.03620;0.19970;0.00851
4.03188;67.82240;0.20620;-0.01715
4.03188;67.95720;0.20320;-0.01375
4.03188;68.02740;0.20800;-0.01834
4.03188;68.23460;0.20800;-0.01386
4.03188;68.48470;0.19950;0.00063
4.06466;66.38350;0.20990;-0.01737
4.06466;66.57270;0.19720;-0.00365
4.06466;66.76260;0.20340;-0.01133
4.06466;66.98170;0.19260;-0.00223
4.06466;67.23980;0.20730;-0.01893
4.06466;67.43990;0.20740;-0.01902
4.09744;65.32470;0.18480;-0.02404
4.09744;65.49070;0.17910;-0.00844
4.09744;65.77590;0.18220;0.00546
4.09744;65.89460;0.18220;0.00653
4.09744;66.21500;0.18770;0.00392
4.13022;64.82250;0.17110;-0.02632
4.13022;64.96620;0.18620;-0.04297
4.13022;64.96210;0.17670;-0.03342
4.13022;64.95630;0.17610;-0.03276
4.13022;65.09140;0.18030;-0.03336
4.16300;64.10950;0.17730;-0.02394
4.16300;64.00530;0.17090;-0.01530
4.16300;64.04080;0.17320;-0.01837
4.16300;64.27270;0.17000;-0.02007
4.16300;64.51860;0.16150;-0.01395
4.19578;63.15390;0.15980;0.00207
4.19578;63.40110;0.16460;-0.00045
4.19578;63.48310;0.16510;-0.00020
4.19578;63.60040;0.17200;-0.00867
4.19578;63.80370;0.16240;-0.00338
4.19578;64.07200;0.16830;-0.01496
4.22856;62.41810;0.15540;-0.00247
4.22856;62.55000;0.17470;-0.01989
4.22856;62.57940;0.15500;0.00023
4.22856;62.71640;0.16100;-0.00381
4.22856;62.90890;0.15880;0.00028
4.26134;61.26410;0.14230;-0.00002
4.26134;61.46440;0.14230;0.00127
4.26134;61.74580;0.15090;-0.00552
4.26134;62.00640;0.15070;-0.00364
4.26134;62.20520;0.15260;-0.00284
4.29412;60.27470;0.14280;0.00047
4.29412;60.41150;0.13550;0.00689
4.29412;60.78100;0.14110;0.00091
4.29412;61.09750;0.14470;-0.00238
4.29412;61.29990;0.14150;0.00122
4.32690;59.30380;0.17870;-0.03715
4.32690;59.48850;0.14010;0.00351
4.32690;59.67620;0.13690;0.00881
4.32690;59.95950;0.14560;-0.00011
4.32690;60.28520;0.14380;-0.00028
4.32690;60.34630;0.14130;0.00185
4.35968;58.47380;0.13960;-0.00326
4.35968;58.70150;0.13690;0.00027
4.35968;58.83170;0.13540;0.00224
4.35968;58.93520;0.14430;-0.00628
4.35968;59.15600;0.13790;0.00201
4.39246;57.76300;0.13000;0.00294
4.39246;57.87150;0.13510;-0.00159
4.39246;57.82370;0.12810;0.00516
4.39246;57.94670;0.13960;-0.00570
4.39246;58.22800;0.13810;-0.00273
4.42524;56.58460;0.12400;0.00381
4.42524;56.71880;0.12840;-0.00012
4.42524;56.81460;0.12560;0.00304
4.42524;56.92040;0.13640;-0.00731
4.42524;57.13170;0.13580;-0.00580
4.42524;57.43060;0.13620;-0.00492
4.45802;55.87000;0.12780;-0.00180
4.45802;55.85270;0.12730;-0.00130
4.45802;55.98960;0.12510;0.00086
4.45802;56.24260;0.12230;0.00441
4.45802;56.43560;0.12430;0.00310
4.49079;55.11280;0.12290;0.00247
4.49079;55.09840;0.11800;0.00730
4.49079;55.32890;0.12920;-0.00293
4.49079;55.67250;0.12350;0.00268
4.49079;55.82940;0.13040;-0.00426
4.52357;54.56270;0.12900;-0.00640
4.52357;54.55590;0.12320;-0.00064
4.52357;54.57630;0.12410;-0.00143
4.52357;54.78240;0.13230;-0.00854
4.52357;55.02730;0.12470;0.00036
4.52357;55.20210;0.12820;-0.00222
4.55635;53.80490;0.12510;-0.00282
4.55635;53.95300;0.11610;0.00624
4.55635;54.09120;0.12320;-0.00079
4.55635;54.25960;0.12480;-0.00232
4.55635;54.48100;0.12260;-0.00002
4.58913;53.41860;0.12550;-0.00353
